% Daily open value of the Dow Jones Industrial (DJI) Average 
%                  from 1/1/14 to 2/17/19
%
%   Normalized        Open 
%      Time           Value                
%
%      (x)              (y)
%
   1.2723041e-01   1.7111029e+04
   1.2800621e-01   1.7119061e+04
   1.2878200e-01   1.7083420e+04
   1.2955780e-01   1.7097420e+04
   1.3033359e-01   1.7067240e+04
   1.3110939e-01   1.7083609e+04
   1.3188518e-01   1.7065891e+04
   1.3266098e-01   1.7131711e+04
   1.3343677e-01   1.7110391e+04
   1.3421257e-01   1.7016051e+04
   1.3498836e-01   1.7057410e+04
   1.3576416e-01   1.7044051e+04
   1.3653995e-01   1.6988760e+04
   1.3731575e-01   1.7027160e+04
   1.3809154e-01   1.7131010e+04
   1.3886734e-01   1.7163730e+04
   1.3964313e-01   1.7267211e+04
   1.4041893e-01   1.7271711e+04
   1.4119472e-01   1.7165910e+04
   1.4197052e-01   1.7056641e+04
   1.4274631e-01   1.7204859e+04
   1.4352211e-01   1.6948619e+04
   1.4429791e-01   1.7107689e+04
   1.4507370e-01   1.7070449e+04
   1.4584950e-01   1.7040461e+04
   1.4662529e-01   1.6808270e+04
   1.4740109e-01   1.6802199e+04
   1.4817688e-01   1.7010340e+04
   1.4895268e-01   1.6988250e+04
   1.4972847e-01   1.6718650e+04
   1.5050427e-01   1.6989369e+04
   1.5128006e-01   1.6654881e+04
   1.5205586e-01   1.6535430e+04
   1.5283165e-01   1.6321900e+04
   1.5360745e-01   1.6313300e+04
   1.5438324e-01   1.6137140e+04
   1.5515904e-01   1.6118390e+04
   1.5593483e-01   1.6373150e+04
   1.5671063e-01   1.6406029e+04
   1.5748642e-01   1.6615260e+04
   1.5826222e-01   1.6468070e+04
   1.5903801e-01   1.6677039e+04
   1.5981381e-01   1.6796100e+04
   1.6058960e-01   1.6825189e+04
   1.6136540e-01   1.7005070e+04
   1.6214119e-01   1.6968141e+04
   1.6291699e-01   1.7208779e+04
   1.6369279e-01   1.7390900e+04
   1.6446858e-01   1.7368811e+04
   1.6524438e-01   1.7385760e+04
   1.6602017e-01   1.7491660e+04
   1.6679597e-01   1.7558580e+04
   1.6757176e-01   1.7568980e+04
   1.6834756e-01   1.7615641e+04
   1.6912335e-01   1.7604750e+04
   1.6989915e-01   1.7618689e+04
   1.7067494e-01   1.7653109e+04
   1.7145074e-01   1.7631850e+04
   1.7222653e-01   1.7643090e+04
   1.7300233e-01   1.7685510e+04
   1.7377812e-01   1.7677320e+04
   1.7455392e-01   1.7721020e+04
   1.7532971e-01   1.7812631e+04
   1.7610551e-01   1.7819051e+04
   1.7688130e-01   1.7812250e+04
   1.7765710e-01   1.7830551e+04
   1.7843289e-01   1.7827270e+04
   1.7920869e-01   1.7778850e+04
   1.7998448e-01   1.7880900e+04
   1.8076028e-01   1.7910020e+04
